Date,Price,Open,High,Low,Vol
2023-05-31,27220.0,27723.0,27855.0,26859.0,1340.0
2023-06-01,26833.0,27220.0,27348.0,26666.0,830.0
2023-06-02,27254.0,26833.0,27301.0,26523.0,790.0
2023-06-03,27077.0,27254.0,27331.0,26925.0,440.0
2023-06-04,27126.0,27077.0,27446.0,26963.0,460.0
2023-06-05,25730.0,27126.0,27134.0,25420.0,3020.0
2023-06-06,27233.0,25730.0,27342.0,25392.0,1690.0
2023-06-07,26365.0,27233.0,27368.0,26157.0,1790.0
2023-06-08,26526.0,26365.0,26811.0,26248.0,700.0
2023-06-09,26502.0,26526.0,26804.0,26303.0,490.0
2023-06-10,25870.0,26502.0,26556.0,25468.0,1660.0
2023-06-11,25953.0,25870.0,26230.0,25669.0,530.0
2023-06-12,25933.0,25953.0,26106.0,25650.0,360.0
2023-06-13,25941.0,25933.0,26428.0,25748.0,790.0
2023-06-14,25146.0,25941.0,26113.0,24853.0,1260.0
2023-06-15,25611.0,25146.0,25766.0,24862.0,1110.0
2023-06-16,26357.0,25611.0,26506.0,25244.0,1020.0
2023-06-17,26535.0,26357.0,26789.0,26202.0,810.0
2023-06-18,26358.0,26535.0,26712.0,26293.0,530.0
2023-06-19,26866.0,26358.0,27056.0,26293.0,960.0
2023-06-20,28325.0,26866.0,28406.0,26676.0,2170.0
2023-06-21,30013.0,28325.0,30769.0,28286.0,3140.0
2023-06-22,29920.0,30013.0,30506.0,29678.0,1680.0
2023-06-23,30708.0,29920.0,31415.0,29838.0,2290.0
2023-06-24,30556.0,30708.0,30820.0,30294.0,730.0
2023-06-25,30485.0,30556.0,31058.0,30334.0,650.0
2023-06-26,30287.0,30485.0,30672.0,29981.0,1030.0
2023-06-27,30711.0,30287.0,31018.0,30246.0,1130.0
2023-06-28,30094.0,30711.0,30731.0,29900.0,1210.0
2023-06-29,30471.0,30094.0,30844.0,30062.0,980.0
2023-06-30,30500.0,30471.0,31299.0,29617.0,3220.0
2023-07-01,30607.0,30500.0,30689.0,30356.0,950.0
2023-07-02,30663.0,30607.0,30817.0,30200.0,700.0
2023-07-03,31176.0,30663.0,31416.0,30607.0,1360.0
2023-07-04,30782.0,31176.0,31345.0,30656.0,1670.0
2023-07-05,30532.0,30782.0,30897.0,30239.0,1250.0
2023-07-06,29942.0,30532.0,31530.0,29901.0,2310.0
2023-07-07,30370.0,29942.0,30469.0,29779.0,1190.0
2023-07-08,30318.0,30370.0,30406.0,30086.0,460.0
2023-07-09,30188.0,30318.0,30459.0,30081.0,780.0
2023-07-10,30445.0,30188.0,31044.0,29988.0,1280.0
2023-07-11,30654.0,30445.0,30822.0,30359.0,710.0
2023-07-12,30428.0,30654.0,30998.0,30260.0,1070.0
2023-07-13,31500.0,30428.0,31814.0,30307.0,2910.0
2023-07-14,30343.0,31500.0,31657.0,29969.0,2410.0
2023-07-15,30310.0,30343.0,30419.0,30283.0,380.0
2023-07-16,30260.0,30310.0,30469.0,30108.0,530.0
2023-07-17,30172.0,30260.0,30353.0,29701.0,1330.0
2023-07-18,29888.0,30172.0,30269.0,29618.0,1280.0
2023-07-19,29939.0,29888.0,30220.0,29829.0,500.0
2023-07-20,29839.0,29939.0,30438.0,29625.0,1310.0
2023-07-21,29942.0,29839.0,30091.0,29770.0,1120.0
2023-07-22,29811.0,29942.0,30035.0,29673.0,190.0
2023-07-23,30122.0,29811.0,30370.0,29777.0,500.0
2023-07-24,29224.0,30122.0,30125.0,28931.0,1620.0
2023-07-25,29272.0,29224.0,29404.0,29101.0,370.0
2023-07-26,29390.0,29272.0,29720.0,29150.0,750.0
2023-07-27,29256.0,29390.0,29601.0,29123.0,610.0
2023-07-28,29365.0,29256.0,29578.0,29169.0,320.0
2023-07-29,29402.0,29365.0,29443.0,29305.0,150.0
2023-07-30,29315.0,29402.0,29488.0,29111.0,490.0
2023-07-31,29273.0,29315.0,29560.0,29164.0,450.0
2023-08-01,29746.0,29273.0,29746.0,28663.0,1640.0
2023-08-02,29197.0,29746.0,30056.0,28975.0,1180.0
2023-08-03,29206.0,29197.0,29438.0,28995.0,620.0
2023-08-04,29119.0,29206.0,29335.0,28863.0,590.0
2023-08-05,29075.0,29119.0,29153.0,28993.0,410.0
2023-08-06,29095.0,29075.0,29198.0,29007.0,390.0
2023-08-07,29223.0,29095.0,29289.0,28722.0,1030.0
2023-08-08,29796.0,29223.0,30235.0,29165.0,1360.0
2023-08-09,29597.0,29796.0,30163.0,29393.0,1220.0
2023-08-10,29458.0,29597.0,29745.0,29384.0,1440.0
2023-08-11,29434.0,29458.0,29549.0,29258.0,1100.0
2023-08-12,29445.0,29434.0,29495.0,29393.0,200.0
2023-08-13,29314.0,29445.0,29477.0,29297.0,270.0
2023-08-14,29445.0,29314.0,29689.0,29103.0,790.0
2023-08-15,29200.0,29445.0,29499.0,29109.0,490.0
2023-08-16,28730.0,29200.0,29255.0,28728.0,1070.0
2023-08-17,26661.0,28730.0,28778.0,24863.0,4960.0
2023-08-18,26066.0,26661.0,26823.0,25699.0,2040.0
2023-08-19,26115.0,26066.0,26279.0,25812.0,330.0
2023-08-20,26215.0,26115.0,26305.0,26018.0,600.0
2023-08-21,26144.0,26215.0,26255.0,25850.0,900.0
2023-08-22,26057.0,26144.0,26156.0,25490.0,1070.0
2023-08-23,26461.0,26057.0,26834.0,25840.0,1190.0
2023-08-24,26199.0,26461.0,26598.0,25962.0,830.0
2023-08-25,26079.0,26199.0,26314.0,25825.0,1270.0
2023-08-26,26045.0,26079.0,26142.0,26019.0,210.0
2023-08-27,26121.0,26045.0,26198.0,25997.0,130.0
2023-08-28,26147.0,26121.0,26264.0,25900.0,690.0
2023-08-29,27752.0,26147.0,28097.0,25954.0,2680.0
2023-08-30,27325.0,27752.0,27789.0,27085.0,1290.0
2023-08-31,25967.0,27325.0,27550.0,25750.0,3630.0
2023-09-01,25816.0,25967.0,26164.0,25354.0,2050.0
2023-09-02,25870.0,25816.0,25995.0,25763.0,1170.0
2023-09-03,25980.0,25870.0,26114.0,25826.0,450.0
2023-09-04,25823.0,25980.0,26092.0,25666.0,720.0
2023-09-05,25793.0,25823.0,25886.0,25602.0,1020.0
2023-09-06,25783.0,25793.0,26023.0,25453.0,1140.0
2023-09-07,26264.0,25783.0,26444.0,25645.0,1210.0
2023-09-08,25918.0,26264.0,26435.0,25692.0,860.0
2023-09-09,25910.0,25918.0,25948.0,25823.0,270.0
2023-09-10,25860.0,25910.0,26009.0,25638.0,500.0
2023-09-11,25183.0,25860.0,25904.0,24927.0,1240.0
2023-09-12,25851.0,25183.0,26566.0,25152.0,2490.0
2023-09-13,26238.0,25851.0,26430.0,25797.0,870.0
2023-09-14,26544.0,26238.0,26832.0,26151.0,2560.0
2023-09-15,26625.0,26544.0,26862.0,26255.0,900.0
2023-09-16,26576.0,26625.0,26792.0,26477.0,320.0
2023-09-17,26547.0,26576.0,26632.0,26444.0,330.0
2023-09-18,26788.0,26547.0,27452.0,26444.0,2870.0
2023-09-19,27244.0,26788.0,27506.0,26700.0,1600.0
2023-09-20,27149.0,27244.0,27414.0,26847.0,1440.0
2023-09-21,26594.0,27149.0,27167.0,26416.0,1530.0
2023-09-22,26606.0,26594.0,26749.0,26532.0,2040.0
2023-09-23,26609.0,26606.0,26662.0,26555.0,880.0
2023-09-24,26299.0,26609.0,26768.0,26211.0,2029.9999999999998
2023-09-25,26330.0,26299.0,26465.0,26045.0,1170.0
2023-09-26,26244.0,26330.0,26410.0,26129.0,900.0
2023-09-27,26391.0,26244.0,26872.0,26147.0,1910.0
2023-09-28,27046.0,26391.0,27300.0,26368.0,1070.0
2023-09-29,26929.0,27046.0,27263.0,26745.0,1060.0
2023-09-30,26980.0,26929.0,27109.0,26909.0,330.0
2023-10-01,28008.0,26980.0,28100.0,26973.0,1830.0
2023-10-02,27526.0,28008.0,28566.0,27345.0,2080.0
2023-10-03,27431.0,27526.0,27700.0,27211.0,770.0
2023-10-04,27805.0,27431.0,27845.0,27249.0,890.0
2023-10-05,27418.0,27805.0,28118.0,27370.0,1440.0
2023-10-06,27942.0,27418.0,28268.0,27200.0,1620.0
2023-10-07,27967.0,27942.0,28026.0,27840.0,450.0
2023-10-08,27929.0,27967.0,28093.0,27710.0,300.0
2023-10-09,27617.0,27929.0,27987.0,27331.0,3070.0
2023-10-10,27414.0,27617.0,27752.0,27325.0,1270.0
2023-10-11,26894.0,27414.0,27492.0,26562.0,1980.0
2023-10-12,26795.0,26894.0,26964.0,26580.0,1440.0
2023-10-13,26875.0,26795.0,27140.0,26700.0,850.0
2023-10-14,26871.0,26875.0,26995.0,26830.0,360.0
2023-10-15,27168.0,26871.0,27297.0,26832.0,470.0
2023-10-16,28524.0,27168.0,30067.0,27129.0,4310.0
2023-10-17,28410.0,28524.0,28624.0,28109.0,830.0
2023-10-18,28332.0,28410.0,28978.0,28171.0,1020.0
2023-10-19,28745.0,28332.0,28904.0,28155.0,1560.0
2023-10-20,29689.0,28745.0,30232.0,28619.0,3150.0
2023-10-21,29922.0,29689.0,30343.0,29478.0,790.0
2023-10-22,30023.0,29922.0,30225.0,29704.0,500.0
2023-10-23,33069.0,30023.0,33525.0,29923.0,6760.0
2023-10-24,33943.0,33069.0,35175.0,32852.0,5300.0
2023-10-25,34504.0,33943.0,35147.0,33756.0,2240.0
2023-10-26,34184.0,34504.0,34843.0,33770.0,1010.0
2023-10-27,33942.0,34184.0,34268.0,33430.0,1120.0
2023-10-28,34104.0,33942.0,34494.0,33906.0,750.0
2023-10-29,34551.0,34104.0,34783.0,33969.0,1500.0
2023-10-30,34490.0,34552.0,34876.0,34117.0,1360.0
2023-10-31,34669.0,34490.0,34730.0,34111.0,1390.0
2023-11-01,35447.0,34669.0,35561.0,34114.0,1990.0
2023-11-02,34944.0,35447.0,35953.0,34335.0,2190.0
2023-11-03,34751.0,34944.0,34954.0,34154.0,1510.0
2023-11-04,35100.0,34751.0,35296.0,34647.0,720.0
2023-11-05,35064.0,35100.0,35399.0,34532.0,610.0
2023-11-06,35053.0,35064.0,35323.0,34798.0,370.0
2023-11-07,35455.0,35053.0,35930.0,34578.0,970.0
2023-11-08,35641.0,35455.0,36065.0,35111.0,700.0
2023-11-09,36699.0,35641.0,37973.0,35562.0,3970.0
2023-11-10,37301.0,36699.0,37500.0,36369.0,950.0
2023-11-11,37141.0,37301.0,37405.0,36720.0,1220.0
2023-11-12,37042.0,37141.0,37215.0,36760.0,450.0
2023-11-13,36511.0,37042.0,37410.0,36390.0,1230.0
2023-11-14,35542.0,36511.0,36756.0,34860.0,2050.0
2023-11-15,37865.0,35542.0,37949.0,35374.0,1990.0
2023-11-16,36161.0,37865.0,37927.0,35535.0,960.0
2023-11-17,36631.0,36161.0,36730.0,35886.0,880.0
2023-11-18,36581.0,36631.0,36849.0,36234.0,340.0
2023-11-19,37368.0,36581.0,37509.0,36410.0,520.0
2023-11-20,37451.0,37368.0,37731.0,36824.0,1650.0
2023-11-21,35794.0,37451.0,37638.0,35791.0,2680.0
2023-11-22,37407.0,35794.0,37870.0,35663.0,2090.0
2023-11-23,37280.0,37407.0,37645.0,36898.0,1300.0
2023-11-24,37704.0,37280.0,38410.0,37248.0,3640.0
2023-11-25,37782.0,37704.0,37891.0,37583.0,1130.0
2023-11-26,37443.0,37782.0,37798.0,37120.0,1840.0
2023-11-27,37263.0,37443.0,37547.0,36735.0,1740.0
2023-11-28,37815.0,37263.0,38349.0,36895.0,1790.0
2023-11-29,37834.0,37815.0,38366.0,37599.0,1190.0
2023-11-30,37723.0,37834.0,38136.0,37490.0,730.0
2023-12-01,38676.0,37723.0,38936.0,37626.0,2690.0
2023-12-02,39438.0,38676.0,39678.0,38634.0,2860.0
2023-12-03,39940.0,39438.0,40159.0,39253.0,1410.0
2023-12-04,41942.0,39940.0,42335.0,39940.0,2950.0
2023-12-05,44112.0,41942.0,44420.0,41317.0,5330.0
2023-12-06,43814.0,44112.0,44285.0,43444.0,5130.0
2023-12-07,43290.0,43814.0,44091.0,42881.0,2940.0
2023-12-08,44173.0,43290.0,44699.0,43101.0,1960.0
2023-12-09,43749.0,44173.0,44362.0,43629.0,1280.0
2023-12-10,43809.0,43749.0,44065.0,43625.0,940.0
2023-12-11,41287.0,43809.0,43840.0,40286.0,3000.0
2023-12-12,41501.0,41287.0,42113.0,40733.0,900.0
2023-12-13,42924.0,41501.0,43424.0,40682.0,1450.0
2023-12-14,43064.0,42924.0,43434.0,41601.0,1670.0
2023-12-15,41961.0,43064.0,43106.0,41742.0,1010.0
2023-12-16,42328.0,41961.0,42746.0,41714.0,650.0
2023-12-17,41406.0,42328.0,42442.0,41304.0,1110.0
2023-12-18,42672.0,41406.0,42753.0,40556.0,1460.0
